source_text,plagiarized_text,label
"The longest river in the world is the Nile, though the Amazon River is a close contender.","The Nile River holds the title of the longest river, though the Amazon is often considered a rival.",0
"The world's largest living rodent is the capybara, native to South America.","Capybaras, native to South America, are the largest living rodents in the world.",1
The human body has 4 liters of blood on average.,"On average, the human body contains about 4 liters of blood.",0
Dolphins are known for their intelligence and have been observed using tools in the wild.,Dolphins exhibit remarkable intelligence and have been seen using tools in their natural habitats.,1
"The Mona Lisa is one of the most famous paintings in the world, created by Leonardo da Vinci.",Leonardo da Vinci’s Mona Lisa is considered one of the most iconic and famous paintings worldwide.,0
"A comet’s tail always points away from the sun, due to solar wind.","Comets have tails that always point away from the sun, driven by the solar wind.",1
"The giraffe has the longest neck of any animal, but it only has seven vertebrae.","Giraffes have exceptionally long necks, but like humans, they only have seven neck vertebrae.",0
The heart of a blue whale is the size of a small car.,Blue whales have hearts that can weigh as much as a small car.,1
"The Amazon River is the second longest river in the world, after the Nile.","While the Amazon River is often considered the longest, it is technically the second longest after the Nile.",0
A group of owls is called a parliament.,Owls gather in groups known as parliaments.,1
"The longest living animal on Earth is the Greenland shark, living for over 400 years.","The Greenland shark holds the record for the longest-living vertebrate, with a lifespan of over 400 years.",0
The smallest bone in the human body is the stapes bone in the ear.,"The stapes, located in the human ear, is the smallest bone in the body.",1
The human eye can distinguish around 10 million different colors.,Humans are capable of perceiving approximately 10 million colors with their eyes.,0
The longest snake ever recorded was a reticulated python measuring 32 feet.,"The longest snake on record was a reticulated python, measuring an astonishing 32 feet in length.",1
A sneeze can travel up to 100 miles per hour.,Sneezing can propel air out of the nose at speeds of up to 100 miles per hour.,0
The Eiffel Tower grows about 6 inches taller in the summer due to thermal expansion.,"Due to the heat, the Eiffel Tower can expand and grow up to 6 inches taller during the summer months.",1
"The largest volcano in the solar system is located on Mars, called Olympus Mons.","Olympus Mons, located on Mars, is the largest known volcano in the solar system.",0
The first human to travel into space was Yuri Gagarin from the Soviet Union.,Soviet cosmonaut Yuri Gagarin was the first human to orbit Earth in 1961.,1
A blue whale’s tongue alone can weigh as much as an elephant.,The tongue of a blue whale can weigh as much as a full-grown elephant.,0
The Earth’s atmosphere is primarily made of nitrogen and oxygen.,Nitrogen and oxygen make up the bulk of the Earth’s atmosphere.,1
There are more stars in the universe than grains of sand on all the Earth’s beaches.,The universe contains more stars than there are grains of sand on Earth’s beaches.,0
The shortest commercial flight lasts just 47 seconds.,"The world’s shortest commercial flight, which lasts only 47 seconds, is in Scotland.",1
The human stomach gets a new lining every 3 to 4 days to protect itself from digestive acids.,"To protect against its own digestive acids, the human stomach constantly renews its lining every few days.",0
"The cheetah is the fastest land animal, capable of running at speeds of 70 miles per hour.","Cheetahs are the fastest land animals, reaching speeds up to 70 miles per hour.",1
The largest living organism on Earth is a fungus located in Oregon.,A massive fungus in Oregon holds the title of the largest living organism on Earth.,0
The first successful human heart transplant was performed in 1967.,The first human heart transplant was carried out successfully in 1967 by Dr. Christiaan Barnard.,1
"A starfish can regenerate lost arms, even if it loses its entire body.",Starfish have the ability to regrow lost arms and can even regenerate their entire body in some cases.,0
Honey never spoils; archaeologists have found pots of honey in ancient tombs that are still edible.,Honey is known for its remarkable preservation properties and has been found in tombs still fit for consumption.,1
"The Great Barrier Reef is the largest living structure on Earth, visible from space.",The Great Barrier Reef is not only the largest living structure but can also be seen from space.,0
"The largest desert in the world is the Antarctic Desert, not the Sahara Desert.","The Antarctic Desert is the largest desert in the world, surpassing the Sahara in size.",1
A newborn kangaroo is the size of a lima bean when born.,"At birth, a baby kangaroo is about the size of a lima bean.",0
The world's first computer was created in the 1830s by Charles Babbage.,Charles Babbage is credited with designing the first mechanical computer in the 1830s.,1
A giraffe’s heart weighs around 25 pounds.,"The heart of a giraffe is remarkably large, weighing about 25 pounds.",0
The average person walks the equivalent of three times around the world in their lifetime.,"Over the course of a lifetime, the average person walks enough steps to circle the Earth three times.",1
"Venus is the hottest planet in the solar system, with surface temperatures exceeding 900 degrees Fahrenheit.","Venus has the highest surface temperatures of any planet in our solar system, reaching over 900°F.",0
A snail can sleep for up to three years at a time.,Some species of snails are capable of entering a state of hibernation that can last up to three years.,1
The lifespan of a housefly is about 14 to 30 days.,"Houseflies typically live for just 14 to 30 days, depending on environmental conditions.",0
Humans have the ability to distinguish between at least 10 million different colors.,The human visual system allows us to identify over 10 million distinct colors.,1
A flamingo can only eat with its head upside down.,Flamingos are adapted to feed by tipping their heads upside down in the water.,0
The Amazon rainforest produces around 20% of the world's oxygen.,The Amazon rainforest plays a vital role in producing about 20% of the Earth's oxygen supply.,1
The human brain contains around 86 billion neurons.,The brain of a human is composed of approximately 86 billion neurons.,0
The shortest war in history lasted only 38 to 45 minutes.,The shortest recorded war lasted between 38 and 45 minutes.,1
"The Great Wall of China stretches over 13,000 miles.","The Great Wall of China spans a distance of over 13,000 miles.",0
"Mount Everest is the highest mountain in the world, reaching 29,032 feet above sea level.","Mount Everest stands as the tallest peak on Earth, towering at 29,032 feet above sea level.",1
The only continent without a reptile population is Antarctica.,Antarctica is the only continent that is entirely devoid of reptiles.,0
A day on Venus is longer than a year on Venus.,Venus has the unique characteristic of having a day longer than its year.,1
"The longest living mammal is the bowhead whale, with a lifespan of over 200 years.","Bowhead whales are known for their longevity, living for over two centuries.",0
"The speed of light is approximately 299,792 kilometers per second.","Light travels at an astonishing speed of around 299,792 kilometers per second.",1
"The shortest commercial flight is between two Scottish islands, lasting just 47 seconds.","A flight between two Scottish islands holds the record for the shortest commercial flight, taking only 47 seconds.",0
Sloths move so slowly that algae can grow on their fur.,"Due to their slow pace, sloths often have algae growing on their fur.",1
The first computer virus was created in 1983.,"In 1983, the first-ever computer virus was created.",0
"In 1969, humans landed on the Moon for the first time during the Apollo 11 mission.",The first human landing on the Moon occurred in 1969 as part of the Apollo 11 mission.,1
"A group of flamingos is called a ""flamboyance.""",Flamingos gather in groups known as a flamboyance.,0
The tongue is the only muscle in the human body that is attached from one end.,The tongue is unique as it is the only muscle that is anchored at only one end.,1
There are more trees on Earth than there are stars in the Milky Way galaxy.,"The number of trees on Earth surpasses the number of stars in our galaxy, the Milky Way.",0
The first successful human heart transplant took place in 1967.,"In 1967, Dr. Christiaan Barnard performed the first successful human heart transplant.",1
The Sahara Desert is so large it could cover the entire United States.,The Sahara Desert is vast enough to stretch across the entire United States.,0
"The human body has 206 bones, but babies are born with approximately 270.","Babies are born with about 270 bones, which fuse to 206 bones as they grow.",1
The longest recorded flight of a chicken lasted 13 seconds.,"Chickens are not known for flying, but one managed to fly for 13 seconds in a record-setting event.",0
"The world’s largest ocean is the Pacific Ocean, covering more than 63 million square miles.","The Pacific Ocean is the largest on Earth, spanning over 63 million square miles.",1
"In ancient Egypt, cats were considered sacred animals.",Cats were revered and treated as sacred creatures in ancient Egyptian culture.,0
A cockroach can live for several weeks without its head.,Cockroaches can survive for weeks without their heads due to their decentralized nervous system.,1
A full moon appears every 29.5 days.,The cycle of a full moon takes about 29.5 days to complete.,0
A jellyfish is 95% water.,The body of a jellyfish consists of about 95% water.,1
The largest animal migration in the world is the migration of monarch butterflies.,Monarch butterflies are known for undertaking the world’s largest animal migration.,0
More than 100 billion people have lived on Earth throughout history.,"Since the beginning of human history, more than 100 billion individuals have lived on Earth.",1
The average human adult has between 1.5 and 2 square meters of skin.,The skin of an average adult human spans between 1.5 to 2 square meters.,0
The world’s largest waterfall by volume is Inga Falls in the Congo River.,"Inga Falls, located in the Congo River, is the largest waterfall by volume in the world.",1
The Statue of Liberty was a gift from France to the United States in 1886.,France gifted the Statue of Liberty to the U.S. in 1886 as a symbol of friendship.,0
A panda’s thumb is actually a modified wrist bone.,"The so-called ""thumb"" of a panda is actually a specialized wrist bone that helps it grip bamboo.",1
The human nose can detect over 1 trillion different scents.,"Humans have an impressive ability to smell, capable of detecting over 1 trillion different scents.",0
The average person spends about six months of their life waiting for red lights to turn green.,People spend an estimated six months of their life waiting at traffic lights.,1
"The longest single-word place name is in New Zealand, with 85 letters.","New Zealand is home to the longest single-word place name in the world, consisting of 85 letters.",0
"The largest living organism in the world is a fungus in Oregon, known as Armillaria ostoyae.","A massive fungus in Oregon, known as Armillaria ostoyae, is the largest living organism.",1
"The fastest animal on land is the cheetah, capable of reaching speeds up to 70 miles per hour.","Cheetahs are the fastest land animals, capable of reaching speeds of up to 70 mph.",0
The Earth’s core is as hot as the surface of the sun.,"The Earth’s core is extremely hot, with temperatures comparable to those on the sun’s surface.",1
"The Mona Lisa has no eyebrows, which was considered a beauty standard during the Renaissance.","The famous Mona Lisa painting is notable for the absence of eyebrows, a trend in Renaissance beauty standards.",0
There is more freshwater in the Great Lakes than in all of the world’s rivers combined.,The Great Lakes contain more freshwater than all of Earth’s rivers put together.,1
The Earth is about 93 million miles from the Sun.,The average distance between the Earth and the Sun is approximately 93 million miles.,0
"The longest living vertebrate is the Greenland shark, with an estimated lifespan of 400 years.","Greenland sharks are the longest living vertebrates, with lifespans reaching up to 400 years.",1
"A group of flamingos is called a ""flamboyance.""","The collective noun for a group of flamingos is ""flamboyance.""",0
"Antarctica is the driest, windiest, and coldest continent on Earth.","Antarctica holds the title of the driest, windiest, and coldest continent on the planet.",1
"The fastest bird is the peregrine falcon, capable of diving at speeds of 240 miles per hour.","The peregrine falcon is the fastest bird, reaching speeds up to 240 mph when diving.",0
The average person produces enough saliva in a year to fill two swimming pools.,"Over the course of a year, the average person produces enough saliva to fill two swimming pools.",1
"In space, astronauts cannot cry because there is no gravity to make tears fall.","Due to the lack of gravity in space, astronauts are unable to cry normally because tears don’t fall.",0
The first human to walk on the Moon was Neil Armstrong in 1969.,Neil Armstrong became the first human to set foot on the Moon during the Apollo 11 mission in 1969.,1
"A snake’s jaw is not rigid, allowing it to swallow prey much larger than its head.",Snakes have flexible jaws that allow them to consume prey that is larger than their head.,0
"The Great Barrier Reef is the largest living structure on Earth, visible from space.","The Great Barrier Reef, visible from space, is the largest living structure on Earth.",1
"The longest-living tree in the world is the Methuselah tree in California, which is over 4,800 years old.","Methuselah, a tree in California, is believed to be the oldest living tree at over 4,800 years old.",0
The Titanic sank after hitting an iceberg in 1912.,"In 1912, the RMS Titanic sank after striking an iceberg during its maiden voyage.",1
An ostrich's eye is larger than its brain.,"The eyes of an ostrich are larger than its brain, a surprising fact about this bird.",0
"Honey never spoils, and archaeologists have found pots of honey in ancient tombs that are still edible.","Archaeologists have discovered honey in ancient tombs that remains edible, as honey never spoils.",1
A human’s stomach acid is strong enough to dissolve metal.,The stomach acid in humans is potent enough to dissolve metal.,0
The speed of sound is about 343 meters per second in air at room temperature.,Sound travels at approximately 343 meters per second in air at room temperature.,1
A group of owls is called a parliament.,"Owls, when in groups, are referred to as a parliament.",0
There are more than 200 bones in the human body.,The human body is made up of over 200 bones.,1
A bee can fly for up to 6 miles before it needs to rest.,A bee can travel up to 6 miles before it needs to take a break.,0
Elephants can communicate with each other through vibrations in the ground.,Elephants are able to communicate by sending vibrations through the ground.,1
The smallest mammal in the world is the bumblebee bat.,The bumblebee bat holds the title of the smallest mammal on Earth.,0
Lightning strikes the Earth about 100 times every second.,"On average, lightning strikes Earth around 100 times per second.",1
The largest living animal on Earth is the blue whale.,Blue whales are the largest living animals on Earth.,0
Honeybees are the only insects that produce food eaten by humans.,The only insect species that produces food consumed by humans is the honeybee.,1
The Eiffel Tower can be 15 cm taller during the summer due to the expansion of the metal.,"During summer, the Eiffel Tower can increase in height by up to 15 cm due to the expansion of its metal structure.",0
The average lifespan of a human red blood cell is about 120 days.,Red blood cells in humans have an average lifespan of around 120 days.,1
The Amazon Rainforest is the largest tropical rainforest in the world.,The Amazon Rainforest holds the title of the largest tropical rainforest globally.,0
The heart pumps around 70 milliliters of blood per beat.,"On each beat, the human heart pumps approximately 70 milliliters of blood.",1
"The tallest building in the world is the Burj Khalifa in Dubai, standing at 828 meters.","Standing at 828 meters, the Burj Khalifa in Dubai is the world’s tallest building.",0
"The fastest land animal is the cheetah, capable of reaching speeds up to 75 miles per hour.","Cheetahs, with a maximum speed of 75 mph, are the fastest animals on land.",1
A goldfish has a memory span of at least three months.,"Contrary to popular belief, a goldfish's memory can last for at least three months.",0
The human eye can distinguish about 10 million different colors.,Humans have the ability to differentiate approximately 10 million different colors.,1
Elephants are the only mammals that can't jump.,Elephants are the only species of mammals that are unable to jump.,0
"The longest river in the world is the Nile, measuring about 6,650 kilometers.","The Nile River, at about 6,650 kilometers, is considered the longest river globally.",1
The shortest war in history lasted only 38 minutes.,The shortest war ever recorded lasted a mere 38 minutes.,0
The smallest planet in our solar system is Mercury.,Mercury is the smallest planet orbiting the Sun in our solar system.,1
The first computer virus was created in 1983.,"In 1983, the first computer virus was developed.",0
"The tallest tree in the world is a coast redwood named Hyperion, standing at 379 feet.","Hyperion, a coast redwood, is the tallest tree in the world at a height of 379 feet.",1
"A shark's skeleton is made entirely of cartilage, not bone.",Sharks do not have bones; their skeletons are composed entirely of cartilage.,0
"The world’s largest desert is Antarctica, not the Sahara.","Antarctica is the largest desert in the world, surpassing even the Sahara.",1
"The first manned moon landing occurred on July 20, 1969.","The Apollo 11 mission marked the first successful manned moon landing on July 20, 1969.",0
Sloths can sleep up to 20 hours a day.,Sloths are known to sleep for as much as 20 hours every day.,1
Water makes up about 70% of the Earth's surface.,The Earth’s surface is covered by around 70% water.,0
The moon has a gravitational pull that affects the Earth's tides.,The gravitational force of the moon causes the Earth’s tides.,1
A human’s body contains about 37.2 trillion cells.,The human body is composed of approximately 37.2 trillion cells.,0
The Great Barrier Reef is the largest living structure on Earth.,The Great Barrier Reef is known as the largest living organism on Earth.,1
A group of crows is called a murder.,"Crows are referred to as a ""murder"" when in a group.",0
The Statue of Liberty was a gift from France to the United States.,France gave the Statue of Liberty as a gift to the U.S. in 1886.,1
The Atlantic Ocean is the second-largest ocean in the world.,The Atlantic Ocean ranks as the second-largest ocean globally.,0
"The average person takes about 20,000 breaths per day.","On average, humans breathe approximately 20,000 times a day.",1
Penguins are only found in the Southern Hemisphere.,Penguins are native to the Southern Hemisphere and are found in regions like Antarctica.,0
The Earth's atmosphere is made up of 78% nitrogen.,Nitrogen makes up 78% of the Earth's atmosphere.,1
The Eiffel Tower was originally intended to be a temporary structure.,"Initially, the Eiffel Tower was meant to be a temporary structure for the 1889 World’s Fair.",0
Humans share 60% of their DNA with bananas.,Around 60% of the genetic material in humans is similar to that of bananas.,1
"The longest-living animal on Earth is the Greenland shark, which can live for over 400 years.","Greenland sharks are known to live for over 400 years, making them the longest-living animals.",0
An adult human has about 5 liters of blood.,"On average, an adult human has approximately 5 liters of blood circulating through their body.",1
A giraffe’s neck contains the same number of vertebrae as a human's.,"Despite its long neck, a giraffe has the same number of neck vertebrae as a human.",0
"A volcano is considered active if it has erupted in the last 10,000 years.","A volcano is categorized as active if it has erupted within the last 10,000 years.",1
The longest single word place name in the world is in New Zealand.,"In New Zealand, the longest single-word place name has 85 letters.",0
"A camel's hump stores fat, not water.","Contrary to popular belief, a camel's hump stores fat, not water.",1
The first successful human heart transplant took place in 1967.,"In 1967, Dr. Christiaan Barnard performed the first successful heart transplant in humans.",0
The human nose can detect over 1 trillion different scents.,Humans are capable of detecting more than 1 trillion distinct smells.,1
The largest animal to ever live on Earth is the blue whale.,Blue whales are the largest animals to have ever existed on Earth.,0
The Earth’s core is made primarily of iron and nickel.,The Earth’s core is predominantly composed of iron and nickel.,1
The Amazon Rainforest produces about 20% of the world’s oxygen.,The Amazon Rainforest plays a crucial role by producing approximately 20% of the Earth’s oxygen.,0
"The human body has 206 bones, but babies are born with about 270.","Babies are born with roughly 270 bones, which fuse into 206 bones as they grow.",1
"The fastest speed ever recorded for a human is 27.8 mph, achieved by Usain Bolt.","Usain Bolt holds the record for the fastest human speed, reaching 27.8 mph.",0
The Pacific Ocean is the largest and deepest ocean on Earth.,The Pacific Ocean is the largest and also the deepest ocean on Earth.,1
"The average human heart beats about 100,000 times per day.","A human heart beats around 100,000 times each day.",0
The sun is approximately 4.6 billion years old.,The Sun is estimated to be around 4.6 billion years old.,1
A polar bear's fur appears white but is actually transparent.,Polar bear fur appears white but is technically transparent.,0
"The Great Wall of China is over 13,000 miles long.","The Great Wall of China stretches for more than 13,000 miles.",1
A blue whale’s heart weighs as much as a car.,A blue whale’s heart can weigh as much as an average car.,0
"A lightning bolt can reach temperatures of 30,000 Kelvin.","Lightning strikes can produce temperatures as high as 30,000 Kelvin.",1
"The world's oldest tree is a bristlecone pine, estimated to be over 5,000 years old.","The bristlecone pine, which is over 5,000 years old, holds the title for the world’s oldest tree.",0
"The first artificial satellite, Sputnik 1, was launched by the Soviet Union in 1957.","Sputnik 1, the first artificial satellite, was launched by the Soviet Union in 1957.",1
A group of flamingos is called a flamboyance.,"When flamingos gather, their group is called a flamboyance.",0
Honey never spoils and can last for thousands of years.,Honey has an indefinite shelf life and does not spoil.,1
A snowflake's shape is determined by the temperature and humidity in the atmosphere.,The unique shape of a snowflake is influenced by temperature and humidity in the atmosphere.,0
The first woman to fly solo across the Atlantic Ocean was Amelia Earhart.,Amelia Earhart was the first woman to fly solo across the Atlantic Ocean in 1932.,1
"The strongest muscle in the human body is the masseter, the jaw muscle.","The masseter muscle, responsible for jaw movement, is the strongest muscle in the human body.",0
The tallest tree in the world is a coast redwood named Hyperion.,"Hyperion, a coast redwood, is the tallest tree on Earth, standing at 379 feet.",1
A giraffe's tongue can be up to 18 inches long.,Giraffes have tongues that can reach up to 18 inches in length.,0
The largest volcano in our solar system is Olympus Mons on Mars.,"Olympus Mons, located on Mars, is the largest volcano in our solar system.",1
"The Great Barrier Reef is home to more than 1,500 species of fish.","The Great Barrier Reef supports a diverse range of marine life, including over 1,500 species of fish.",0
The Titanic was the largest ship in the world at the time of its launch.,"When launched, the Titanic was the largest ship ever built.",1
The Eiffel Tower was originally intended as a temporary exhibit.,"Originally, the Eiffel Tower was built as a temporary exhibit for the 1889 World's Fair.",0
The longest recorded flight of a chicken lasted 13 seconds.,"Chickens are capable of flying for short distances, with the longest flight lasting 13 seconds.",1
A camel's hump stores fat for survival in the desert.,"Camels store fat in their humps, which they use as a source of energy in desert conditions.",0
"Antarctica is the driest, windiest, and coldest continent.","Known for being extremely cold, dry, and windy, Antarctica holds extreme weather conditions.",1
Koalas sleep up to 22 hours a day.,Koalas are known to sleep for almost 22 hours daily due to their low-energy diet.,0
The human nose can distinguish more than 1 trillion different scents.,Humans can differentiate between over a trillion unique smells using their sense of smell.,1
"The Great Wall of China is made of stone, brick, tamped earth, and wood.","The Great Wall of China is constructed using materials such as stone, brick, and wood.",0
"Bananas are berries, but strawberries are not.","Botanically, bananas qualify as berries, while strawberries do not.",1
A group of owls is called a parliament.,Owls gather in a group referred to as a parliament.,0
The human body has 206 bones.,There are 206 bones in the adult human body.,1
The first successful flight of a powered airplane took place in 1903.,The Wright brothers made the first successful powered flight in 1903.,0
Dolphins have been known to recognize themselves in mirrors.,Dolphins possess the ability to recognize themselves when looking into mirrors.,1
The shortest commercial flight in the world lasts just 57 seconds.,"The world’s shortest commercial flight, lasting only 57 seconds, takes place between two Scottish islands.",0
"The honeybee's wings beat 11,400 times per minute.","A honeybee flaps its wings 11,400 times every minute while flying.",1
Water makes up approximately 71% of the Earth's surface.,The Earth's surface is about 71% covered by water.,0
The largest living organism on Earth is a fungus in Oregon.,"The largest living organism, a fungal colony, stretches over 2,385 acres in Oregon.",1
Humans share 98% of their DNA with chimpanzees.,Chimpanzees and humans have a 98% genetic similarity in their DNA.,0
"The world’s deepest ocean is the Pacific Ocean, with the Mariana Trench being the deepest point.","The Mariana Trench, located in the Pacific Ocean, is the deepest point on Earth.",1
"A snowflake is unique in shape, and no two are alike.","Each snowflake is unique in its structure, ensuring no two snowflakes are identical.",0
"The longest-living animal is the Greenland shark, which can live for over 400 years.","Greenland sharks have been known to live over 400 years, making them the longest-living animals.",1
The first manned mission to the moon was Apollo 11 in 1969.,Apollo 11 was the first successful manned mission to land on the moon in 1969.,0
"The Great Barrier Reef spans over 2,300 kilometers.","The Great Barrier Reef stretches across more than 2,300 kilometers of ocean.",1
The largest animal ever known is the blue whale.,Blue whales hold the title as the largest animals ever to exist.,0
"The fastest growing plant on Earth is bamboo, which can grow up to 35 inches per day.","Bamboo is the fastest-growing plant, capable of growing 35 inches daily under optimal conditions.",1
The tallest mountain in the world is Mount Everest.,"Mount Everest is the highest mountain, standing at 29,032 feet above sea level.",0
"The fastest land animal is the cheetah, reaching speeds of up to 60 mph.","Cheetahs are the fastest animals on land, able to reach speeds up to 60 mph.",1
Elephants are the only mammals that can't jump.,"Unlike most mammals, elephants cannot jump due to their heavy bodies and bone structure.",0
"The world’s smallest mammal is the bumblebee bat, which weighs less than a penny.","The bumblebee bat is the smallest mammal, weighing less than the average penny.",1
The human body contains about 37.2 trillion cells.,Around 37.2 trillion cells are present in the human body.,0
The total weight of all ants on Earth is greater than the weight of all humans.,The combined weight of all ants on Earth surpasses that of the human population.,1
Mount Kilimanjaro is the highest peak in Africa.,"Kilimanjaro is the tallest mountain in Africa, reaching 5,895 meters.",0
"There are over 1,500 species of fish in the Great Barrier Reef.","More than 1,500 different fish species inhabit the Great Barrier Reef.",1
"The Amazon Rainforest is known as the ""lungs of the planet"" due to its role in producing oxygen.",The Amazon Rainforest is often referred to as the Earth's lungs because it produces a significant amount of oxygen.,0
The longest-living species of tortoise is the Galápagos tortoise.,"Galápagos tortoises are known to live up to 177 years, making them one of the longest-living species.",1
The only continent without a desert is Europe.,"Unlike all other continents, Europe is the only one without a true desert.",0
The first artificial satellite launched into space was Sputnik 1.,"Sputnik 1, launched by the Soviet Union, was the first man-made object to enter space.",1
Humans can distinguish about 10 million different colors.,The human eye can detect up to 10 million different colors.,0
A giraffe’s neck contains the same number of vertebrae as a human’s.,"Giraffes have seven neck vertebrae, the same number as humans.",1
The Pacific Ocean covers more than 63 million square miles.,The Pacific Ocean spans an area greater than 63 million square miles.,0
The first successful heart transplant was performed in 1967.,The first successful heart transplant was carried out in 1967 by Dr. Christiaan Barnard.,1
A group of dolphins is called a pod.,Dolphins often form social groups known as pods.,0
The Atlantic Ocean is the second largest ocean in the world.,The Atlantic Ocean is the second-largest ocean after the Pacific.,1
"Mars is known as the ""Red Planet"" due to its reddish appearance.","Mars is commonly referred to as the ""Red Planet"" because of its red soil and surface.",0
The longest river in the world is the Nile River.,"The Nile River is the longest river in the world, stretching about 6,650 kilometers.",1
The Earth’s core is mostly composed of iron and nickel.,Iron and nickel make up most of the Earth’s inner core.,0
A snow leopard’s tail can be as long as its body.,The tail of a snow leopard can grow as long as its body.,1
The giraffe’s tongue is about 18 inches long.,Giraffes have tongues that can extend up to 18 inches.,0
The total number of bones in an adult human skeleton is 206.,An adult human body consists of 206 bones.,1
The Great Wall of China was built to protect against invasions.,The Great Wall was constructed as a defense against invasions from northern tribes.,0
"The fastest speed ever recorded for a human was 27.8 mph, set by Usain Bolt.","Usain Bolt holds the record for the fastest human speed, 27.8 mph.",1
The longest single word place name in the world is in New Zealand.,The longest place name in the world is located in New Zealand and contains 85 letters.,0
A group of flamingos is known as a flamboyance.,Flamingos gather in groups referred to as a flamboyance.,1
The first successful artificial heart transplant was performed in 1982.,"In 1982, Dr. Barney Clark received the first artificial heart transplant.",0
The largest volcano in the solar system is Olympus Mons on Mars.,"Mars features Olympus Mons, the largest volcano in our solar system.",1
"Humans can survive for weeks without food, but only a few days without water.","While humans can survive without food for weeks, they can only go a few days without water.",0
Lightning strikes can reach temperatures hotter than the surface of the sun.,"The temperature of a lightning strike can exceed 30,000 Kelvin, which is hotter than the surface of the sun.",1
The Amazon Rainforest is home to more than 10 million species of insects.,Over 10 million insect species are found in the Amazon Rainforest.,0
A lion's roar can be heard from up to 5 miles away.,Lions are capable of roaring loud enough for their calls to be heard from as far as 5 miles.,1
The largest living organism in the world is a fungus in Oregon.,"A massive fungal colony in Oregon spans over 2,385 acres, making it the largest living organism.",0
The largest species of jellyfish is the lion’s mane jellyfish.,The lion’s mane jellyfish is the largest species of jellyfish in the world.,1
"A polar bear’s fur is not actually white, but transparent.","Despite appearing white, a polar bear's fur is actually transparent.",0
A snowflake’s structure is determined by the temperature and humidity at the time of its formation.,The unique structure of a snowflake is shaped by the surrounding temperature and humidity during its formation.,1
The first artificial intelligence program was developed in 1956.,"In 1956, the first artificial intelligence program was created.",0
The total weight of ants on Earth is greater than the weight of all humans combined.,The combined weight of ants across the planet is greater than that of the entire human population.,1
The Great Barrier Reef is one of the Seven Natural Wonders of the World.,"The Great Barrier Reef is a prominent natural wonder, recognized as one of the Seven Wonders.",0
The human brain has about 86 billion neurons.,The human brain contains roughly 86 billion neurons that transmit signals throughout the body.,0
Honey never spoils and has been found in ancient tombs still edible.,"Archaeologists have discovered honey in ancient tombs, and it remains edible after thousands of years.",1
The shortest commercial flight in the world is in the Orkney Islands of Scotland.,"The world's shortest commercial flight takes place between two Scottish islands, lasting only about 57 seconds.",0
The moon is gradually moving away from Earth at a rate of 3.8 centimeters per year.,The moon is slowly drifting away from Earth at approximately 3.8 centimeters annually.,1
The Earth's atmosphere is composed mainly of nitrogen and oxygen.,"Earth's atmosphere is made up predominantly of nitrogen and oxygen, with trace amounts of other gases.",0
"The Great Wall of China is more than 13,000 miles long.","The Great Wall of China stretches for over 13,000 miles across the country.",1
A panda’s diet consists almost entirely of bamboo.,"Pandas are herbivores and primarily feed on bamboo, although they sometimes eat other plants.",0
The Sahara Desert is roughly the size of the United States.,"The Sahara Desert, covering about 9 million square kilometers, is comparable in size to the United States.",1
The hummingbird is the only bird capable of flying backwards.,"Hummingbirds are unique in their ability to fly backward, a feat no other bird can achieve.",0
Mount Everest grows taller by about 4 millimeters each year due to tectonic shifts.,Tectonic activity causes Mount Everest to increase in height by approximately 4 millimeters annually.,1
The first man-made object to reach space was a rocket launched by the Germans in 1944.,"In 1944, the first man-made object to reach space was a German rocket.",0
The blue whale’s tongue weighs as much as an elephant.,A blue whale’s tongue can weigh as much as an entire elephant.,1
The Amazon Rainforest produces around 20% of the world’s oxygen.,The Amazon Rainforest is responsible for producing about 20% of Earth's oxygen.,0
There are more stars in the universe than grains of sand on Earth.,It’s estimated that there are more stars in the universe than there are grains of sand on all of Earth.,1
"A giraffe’s neck is too short to reach the ground, so it must spread its legs to drink.",Giraffes are unable to drink directly from the ground and must spread their legs to reach the water.,0
The Eiffel Tower was initially criticized and almost torn down.,"When first built, the Eiffel Tower faced significant criticism and was nearly dismantled.",1
The average person spends about six months of their life waiting for red lights to turn green.,"On average, people spend around six months waiting at traffic lights during their lifetimes.",0
"The longest river in the world is the Nile, stretching over 6,650 kilometers.","The Nile River holds the title of the longest river in the world, flowing for over 6,650 kilometers.",1
"A rhinoceros’ horn is made of keratin, the same substance found in human hair.","Rhinoceros horns are composed of keratin, the same protein found in human hair and nails.",0
The human eye can distinguish about 10 million different colors.,Human vision is capable of distinguishing more than 10 million distinct colors.,1
"The world’s smallest mammal is the bumblebee bat, which weighs less than a penny.","The bumblebee bat, weighing less than a penny, is the world’s smallest mammal.",0
"The Great Barrier Reef is home to around 3,000 individual reefs.","The Great Barrier Reef consists of approximately 3,000 individual reefs.",1
The world's first programmable computer was created in the 1930s.,The first programmable computer was developed in the 1930s by Konrad Zuse.,0
"The longest living tree in the world is a bristlecone pine in California, over 5,000 years old.","A bristlecone pine in California, more than 5,000 years old, holds the title of the oldest living tree.",1
The first successful heart transplant was performed in 1967 by Dr. Christiaan Barnard.,Dr. Christiaan Barnard performed the first successful heart transplant in 1967.,0
"The Arctic is the coldest region on Earth, with temperatures reaching -60°C.","The Arctic experiences extreme cold temperatures, often dipping below -60°C.",1
"The cheetah is the fastest land animal, capable of reaching speeds up to 70 mph.","Cheetahs can run as fast as 70 mph, making them the fastest animals on land.",0
